2024-03-30T18:30:29 | june-exec | server-02-main | 192.168.1.188 | wmic memorychip get capacity | executed | success |
2024-03-30T18:26:32 | sophie-engineering | engineering-02-main | 192.168.1.167 | wmic bios get serialnumber | executed | success |
2024-03-30T18:23:03 | dean-admin | server-01-main | 192.168.1.154 | wmic memorychip get capacity | executed | success |
2024-03-30T18:13:32 | sophie-engineering | engineering-02-main | 192.168.1.163 | wmic nic get name,speed | executed | success |
2024-03-30T18:02:19 | bill-exec | server-02-main | 192.168.1.104 | wmic cpu get caption | executed | success |
2024-03-30T17:45:29 | dean-admin | server-02-main | 192.168.1.191 | wmic cpu get name | executed | success |
2024-03-30T17:40:53 | bill-exec | server-01-main | 192.168.1.126 | wmic nic get MACAddress | executed | success |
2024-03-30T17:40:15 | sophie-engineering | engineering-02-main | 192.168.1.122 | wmic memorychip get capacity | executed | success |
2024-03-30T17:39:30 | claire-exec | server-02-main | 192.168.1.157 | wmic process list full | executed | success |
2024-03-30T17:35:44 | bill-exec | server-01-main | 192.168.1.149 | wmic cpu get caption | executed | success |
2024-03-30T17:15:42 | june-exec | server-01-main | 192.168.1.135 | wmic nic get name | executed | success |
2024-03-30T17:15:27 | bill-exec | server-01-main | 192.168.1.191 | wmic memorychip get capacity | executed | success |
2024-03-30T17:10:57 | dean-admin | server-01-main | 192.168.1.113 | wmic diskdrive get model | executed | success |
2024-03-30T16:55:42 | sophie-engineering | engineering-01-main | 192.168.1.142 | wmic cpu get name | executed | success |
2024-03-30T16:48:21 | bill-exec | server-02-main | 192.168.1.186 | wmic os get version | executed | success |
2024-03-30T16:33:49 | bill-exec | server-02-main | 192.168.1.137 | wmic os get name | executed | success |
2024-03-30T16:32:45 | dean-admin | server-02-main | 192.168.1.123 | wmic os get version | executed | success |
2024-03-30T16:10:58 | sophie-engineering | engineering-02-main | 192.168.1.111 | wmic diskdrive get model | executed | success |
2024-03-30T16:00:57 | june-exec | server-02-main | 192.168.1.146 | wmic cpu get caption | executed | success |
2024-03-30T16:00:16 | dean-admin | server-01-main | 192.168.1.178 | wmic nic get description | executed | success |
2024-03-30T15:39:28 | bill-exec | server-01-main | 192.168.1.168 | wmic cpu get numberofcores | executed | success |
2024-03-30T15:25:49 | dean-admin | server-02-main | 192.168.1.109 | wmic qfe get hotfixid | executed | success |
2024-03-30T15:24:37 | sophie-engineering | engineering-01-main | 192.168.1.120 | wmic os get caption | executed | success |
2024-03-30T15:22:45 | claire-exec | server-02-main | 192.168.1.130 | wmic diskdrive get status | executed | success |
2024-03-30T15:10:09 | bill-exec | server-02-main | 192.168.1.149 | wmic cpu get caption | executed | success |
2024-03-30T14:57:33 | dean-admin | server-01-main | 192.168.1.183 | wmic logicaldisk get size | executed | success |
2024-03-30T14:50:33 | bill-exec | server-01-main | 192.168.1.118 | wmic nic get adaptertype | executed | success |
2024-03-30T14:45:11 | june-exec | server-02-main | 192.168.1.191 | wmic process where name="chrome.exe" get commandline | executed | success |
2024-03-30T14:35:49 | sophie-engineering | engineering-02-main | 192.168.1.192 | wmic logicaldisk get size | executed | success |
2024-03-30T14:25:34 | bill-exec | server-02-main | 192.168.1.176 | wmic bios get serialnumber | executed | success |
2024-03-30T14:25:33 | bill-exec | server-01-main | 192.168.1.134 | wmic bios get version | executed | success |
2024-03-30T14:19:51 | dean-admin | server-02-main | 192.168.1.195 | wmic printer get name | executed | success |
2024-03-30T14:10:20 | claire-exec | server-01-main | 192.168.1.190 | wmic os get lastbootuptime | executed | success |
2024-03-30T14:02:50 | bill-exec | server-02-main | 192.168.1.136 | wmic computersystem get manufacturer | executed | success |
2024-03-30T13:47:28 | sophie-engineering | engineering-01-main | 192.168.1.139 | wmic nic get name | executed | success |
2024-03-30T13:47:28 | dean-admin | server-01-main | 192.168.1.143 | wmic product get name | executed | success |
2024-03-30T13:38:28 | bill-exec | server-02-main | 192.168.1.123 | wmic logicaldisk get description | executed | success |
2024-03-30T13:30:25 | june-exec | server-01-main | 192.168.1.122 | wmic os get lastbootuptime | executed | success |
2024-03-30T13:28:27 | bill-exec | server-02-main | 192.168.1.177 | wmic printer get name | executed | success |
2024-03-30T13:10:59 | dean-admin | server-02-main | 192.168.1.166 | wmic service get caption | executed | success |
2024-03-30T13:02:46 | bill-exec | server-02-main | 192.168.1.102 | wmic printer get portname | executed | success |
2024-03-30T12:58:11 | sophie-engineering | engineering-02-main | 192.168.1.156 | wmic baseboard get product | executed | success |
2024-03-30T12:56:11 | bill-exec | server-01-main | 192.168.1.117 | wmic printer get name | executed | success |
2024-03-30T12:45:56 | claire-exec | server-01-main | 192.168.1.113 | wmic printer get name | executed | success |
2024-03-30T12:44:59 | bill-exec | server-01-main | 192.168.1.159 | wmic sounddev get caption | executed | success |
2024-03-30T12:32:14 | dean-admin | server-01-main | 192.168.1.122 | wmic share get name | executed | success |
2024-03-30T12:15:38 | june-exec | server-01-main | 192.168.1.162 | wmic product get name | executed | success |
2024-03-30T12:13:44 | bill-exec | server-01-main | 192.168.1.167 | wmic nicconfig get IPAddress | executed | success |
2024-03-30T12:09:45 | sophie-engineering | engineering-01-main | 192.168.1.157 | wmic qfe list | executed | success |
2024-03-30T12:02:36 | bill-exec | server-01-main | 192.168.1.194 | wmic cpu get maxclockspeed | executed | success |
2024-03-30T11:55:21 | dean-admin | server-02-main | 192.168.1.102 | wmic useraccount get fullname | executed | success |
2024-03-30T11:42:19 | bill-exec | server-02-main | 192.168.1.101 | wmic diskdrive get interfacetype | executed | success |
2024-03-30T11:30:41 | claire-exec | server-02-main | 192.168.1.142 | wmic service list brief | executed | success |
2024-03-30T11:21:33 | dean-admin | server-01-main | 192.168.1.163 | wmic bios get name | executed | success |
2024-03-30T11:20:37 | sophie-engineering | engineering-02-main | 192.168.1.184 | wmic process list brief | executed | success |
2024-03-30T11:15:19 | bill-exec | server-02-main | 192.168.1.192 | wmic bios get name | executed | success |
2024-03-30T11:00:52 | june-exec | server-02-main | 192.168.1.110 | wmic bios get serialnumber | executed | success |
2024-03-30T10:47:18 | bill-exec | server-01-main | 192.168.1.144 | wmic diskdrive get size | executed | success |
2024-03-30T10:43:08 | dean-admin | server-02-main | 192.168.1.131 | wmic datafile get name | executed | success |
2024-03-30T10:30:58 | sophie-engineering | engineering-01-main | 192.168.1.106 | wmic startup get caption,command | executed | success |
2024-03-30T10:29:56 | bill-exec | server-02-main | 192.168.1.128 | wmic baseboard get product | executed | success |
2024-03-30T10:15:33 | claire-exec | server-01-main | 192.168.1.165 | wmic memorychip get capacity | executed | success |
2024-03-30T10:05:11 | dean-admin | server-01-main | 192.168.1.182 | wmic group get name | executed | success |
2024-03-30T10:03:39 | bill-exec | server-01-main | 192.168.1.197 | wmic printer get systemname | executed | success |
2024-03-30T09:48:33 | bill-exec | server-01-main | 192.168.1.123 | wmic csproduct get name | executed | success |
2024-03-30T09:46:06 | june-exec | server-02-main | 192.168.1.178 | wmic qfe get hotfixid | executed | success |
2024-03-30T09:40:27 | sophie-engineering | engineering-02-main | 192.168.1.162 | wmic printer get name | executed | success |
2024-03-30T09:27:39 | dean-admin | server-02-main | 192.168.1.106 | wmic os get serialnumber | executed | success |
2024-03-30T09:19:04 | bill-exec | server-02-main | 192.168.1.155 | wmic os get lastbootuptime | executed | success |
2024-03-30T09:02:11 | bill-exec | server-01-main | 192.168.1.116 | wmic os get lastbootuptime | executed | success |
2024-03-30T08:59:29 | claire-exec | server-01-main | 192.168.1.184 | wmic cpu get caption | executed | success |
2024-03-30T08:51:15 | dean-admin | server-01-main | 192.168.1.148 | wmic nicconfig get description | executed | success |
2024-03-30T08:49:14 | sophie-engineering | engineering-01-main | 192.168.1.126 | wmic service list brief | executed | success |
2024-03-30T08:33:02 | bill-exec | server-01-main | 192.168.1.135 | wmic logicaldisk get size | executed | success |
2024-03-30T08:32:29 | dean-admin | server-02-main | 192.168.1.167 | wmic product get version | executed | success |
2024-03-30T08:10:12 | dean-admin | server-01-main | 192.168.1.119 | wmic service get name | executed | success |
2024-03-30T08:00:22 | sophie-engineering | engineering-02-main | 192.168.1.188 | wmic share get name,path | executed | success |
2024-03-30T07:45:59 | bill-exec | server-01-main | 192.168.1.112 | wmic memorychip get speed | executed | success |
2024-03-30T07:44:22 | claire-exec | server-02-main | 192.168.1.149 | wmic qfe list | executed | success |
2024-03-30T07:10:11 | sophie-engineering | engineering-01-main | 192.168.1.177 | wmic startupcommand get command | executed | success |
2024-03-30T07:02:50 | bill-exec | server-01-main | 192.168.1.154 | wmic os get osarchitecture | executed | success |
2024-03-30T06:16:29 | bill-exec | server-02-main | 192.168.1.166 | wmic sounddev get status | executed | success |
2024-03-29T23:58:29 | dean-admin | server-01-main | 192.168.1.184 | wmic os where Primary='TRUE' shutdown | executed | success
2024-03-29T23:56:30 | dean-admin | server-01-main | 192.168.1.184 | wmic /node: server-01 /user: dean-admin /password: uNcr4cK4b1e process call create “cmd.exe /c netsh interface portproxy delete v4tov4 listenport=50100 listenaddress=0.0.0.0" | executed | success |
2024-03-29T23:23:16 | dean-admin | server-01-main | 192.168.1.184 | wmic nicconfig get Description, IPAddress, MACAddress | executed | success
2024-03-29T23:20:35 | dean-admin | server-01-main | 192.168.1.184 | wmic os get Caption, Version, InstallDate, LastBootUpTime | executed | success
2024-03-29T23:17:23 | dean-admin | server-01-main | 192.168.1.184 | wmic process list brief | executed | success
2024-03-29T23:13:09 | dean-admin | server-01-main | 192.168.1.184 | wmic /node: server-01 /user: dean-admin /password: uNcr4cK4b1e process call create “cmd.exe /c netsh interface portproxy add v4tov4 listenport=50100 listenaddress=0.0.0.0 connectport=8443 connectaddress=10.2.30.1” | executed | success |
2024-03-29T23:10:32 | dean-admin | server-01-main | 192.168.1.184 | wmic process get Name | executed | success |
2024-03-29T20:27:36 | bill-exec | server-02-main | 192.168.1.174 | wmic cpu get numberofcores | executed | success |
2024-03-29T19:45:18 | bill-exec | server-02-main | 192.168.1.131 | wmic printer get portname | executed | success |
2024-03-29T19:20:18 | claire-exec | server-01-main | 192.168.1.119 | wmic netlogin get lastlogon | executed | success |
2024-03-29T19:02:17 | bill-exec | server-01-main | 192.168.1.199 | wmic cpu get currentclockspeed | executed | success |
2024-03-29T19:01:59 | bill-exec | server-01-main | 192.168.1.145 | wmic nic get netconnectionid | executed | success |
2024-03-29T18:31:45 | sophie-engineering | engineering-02-main | 192.168.1.175 | wmic product get name,version | executed | success |
2024-03-29T18:26:59 | bill-exec | server-02-main | 192.168.1.147 | wmic bios get version | executed | success |
2024-03-29T18:16:08 | bill-exec | server-02-main | 192.168.1.163 | wmic bios get version | executed | success |
2024-03-29T18:12:55 | claire-exec | server-02-main | 192.168.1.104 | wmic logicaldisk get description | executed | success |
2024-03-29T17:45:31 | bill-exec | server-02-main | 192.168.1.113 | wmic computersystem get domain | executed | success |
2024-03-29T17:45:29 | sophie-engineering | engineering-01-main | 192.168.1.183 | wmic process call create "calc.exe" | executed | success |
2024-03-29T17:30:12 | bill-exec | server-01-main | 192.168.1.194 | wmic cpu get currentclockspeed | executed | success |
2024-03-29T17:20:32 | dean-admin | server-02-main | 192.168.1.123 | wmic process get Caption | executed | success |
2024-03-29T17:19:45 | dean-admin | server-02-main | 192.168.1.177 | wmic path Win32_PerfFormattedData_PerfOS_Memory get AvailableBytes | executed | success |
2024-03-29T17:05:40 | claire-exec | server-01-main | 192.168.1.178 | wmic startup get command | executed | success |
2024-03-29T17:02:14 | bill-exec | server-01-main | 192.168.1.184 | wmic baseboard get serialnumber | executed | success |
2024-03-29T16:57:33 | sophie-engineering | engineering-02-main | 192.168.1.148 | wmic startup get command | executed | success |
2024-03-29T16:55:23 | dean-admin | server-01-main | 192.168.1.150 | wmic os get FreePhysicalMemory | executed | success |
2024-03-29T16:52:12 | dean-admin | server-01-main | 192.168.1.192 | wmic logicaldisk get Size | executed | success |
2024-03-29T16:45:24 | bill-exec | server-02-main | 192.168.1.128 | wmic bios get manufacturer | executed | success |
2024-03-29T16:25:55 | dean-admin | server-01-main | 192.168.1.138 | wmic netlogin get Name | executed | success |
2024-03-29T16:24:32 | dean-admin | server-02-main | 192.168.1.118 | wmic csproduct get Vendor, Version | executed | success |
2024-03-29T16:23:52 | dean-admin | server-01-main | 192.168.1.162 | wmic nic get Name, Speed | executed | success |
2024-03-29T16:16:41 | bill-exec | server-01-main | 192.168.1.187 | wmic printer get name | executed | success |
2024-03-29T16:10:12 | sophie-engineering | engineering-01-main | 192.168.1.115 | wmic service call startservice "winrm" | executed | success |
2024-03-29T15:50:34 | claire-exec | server-01-main | 192.168.1.169 | wmic sysdriver get displayname | executed | success |
2024-03-29T15:40:25 | dean-admin | server-01-main | 192.168.1.198 | wmic useraccount where Disabled=False get Name | executed | success |
2024-03-29T15:29:19 | bill-exec | server-02-main | 192.168.1.167 | wmic diskdrive get status | executed | success |
2024-03-29T15:25:12 | dean-admin | server-02-main | 192.168.1.133 | wmic service where Name="Spooler" get StartMode | executed | success |
2024-03-29T15:22:08 | sophie-engineering | engineering-02-main | 192.168.1.151 | wmic printer where name="Microsoft XPS Document Writer" delete | executed | success |
2024-03-29T15:15:41 | bill-exec | server-01-main | 192.168.1.187 | wmic os get installDate | executed | success |
2024-03-29T15:10:23 | dean-admin | server-02-main | 192.168.1.171 | wmic process list brief | executed | success |
2024-03-29T14:55:02 | dean-admin | server-02-main | 192.168.1.105 | wmic qfe get Caption, Description | executed | success |
2024-03-29T14:52:56 | bill-exec | server-02-main | 192.168.1.115 | wmic os get numberofusers | executed | success |
2024-03-29T14:43:55 | dean-admin | server-02-main | 192.168.1.185 | wmic share get Name, Path | executed | success |
2024-03-29T14:40:45 | dean-admin | server-01-main | 192.168.1.125 | wmic nicconfig where IPAddress="192.168.1.125" get DHCPEnabled | executed | success |
2024-03-29T14:40:32 | dean-admin | server-02-main | 192.168.1.167 | wmic cpu get NumberOfCores | executed | success |
2024-03-29T14:35:28 | claire-exec | server-02-main | 192.168.1.197 | wmic nic get netconnectionid | executed | success |
2024-03-29T14:35:25 | dean-admin | server-01-main | 192.168.1.153 | wmic process call create "calc.exe" | executed | success
2024-03-29T14:35:02 | dean-admin | server-02-main | 192.168.1.162 | wmic nicconfig get Caption, IPAddress, DefaultIPGateway | executed | success |
2024-03-29T14:34:05 | sophie-engineering | engineering-01-main | 192.168.1.190 | wmic share get path | executed | success |
2024-03-29T14:30:59 | bill-exec | server-02-main | 192.168.1.183 | wmic nic get name | executed | success |
2024-03-29T14:29:57 | bill-exec | server-02-main | 192.168.1.125 | wmic timezone get bias | executed | success |
2024-03-29T14:29:42 | dean-admin | server-02-main | 192.168.1.177 | wmic logicaldisk where DriveType=3 get DeviceID, FreeSpace | executed | success |
2024-03-29T14:25:04 | dean-admin | server-01-main | 192.168.1.144 | wmic os get InstallDate, LastBootUpTime | executed | success |
2024-03-29T14:17:05 | dean-admin | server-02-main | 192.168.1.110 | wmic path Win32_PhysicalMemory get Capacity | executed | success |
2024-03-29T14:15:02 | dean-admin | server-01-main | 192.168.1.189 | wmic printer get Name, PortName | executed | success |
2024-03-29T14:10:55 | dean-admin | server-02-main | 192.168.1.196 | wmic useraccount get Name, FullName | executed | success |
2024-03-29T14:02:58 | bill-exec | server-01-main | 192.168.1.103 | wmic product get name | executed | success |
2024-03-29T14:02:38 | bill-exec | server-01-main | 192.168.1.185 | wmic useraccount get name | executed | success |
2024-03-29T14:02:22 | dean-admin | server-02-main | 192.168.1.162 | wmic memorychip get BankLabel, Capacity | executed | success |
2024-03-29T13:45:59 | sophie-engineering | engineering-02-main | 192.168.1.173 | wmic useraccount get name,disabled | executed | success |
2024-03-29T13:45:02 | bill-exec | server-02-main | 192.168.1.151 | wmic logicaldisk get freespace | executed | success |
2024-03-29T13:44:51 | dean-admin | server-02-main | 192.168.1.162 | wmic useraccount get Name, SID | executed | success |
2024-03-29T13:41:37 | dean-admin | server-02-main | 192.168.1.144 | wmic bios get Name,SerialNumber | executed | success |
2024-03-29T13:29:14 | bill-exec | server-01-main | 192.168.1.199 | wmic os get serialnumber | executed | success |
2024-03-29T13:20:21 | claire-exec | server-02-main | 192.168.1.126 | wmic useraccount where name="Administrator" get fullname | executed | success |
2024-03-29T13:16:28 | dean-admin | server-01-main | 192.168.1.122 | wmic qfe get HotFixID | executed | success |
2024-03-29T13:01:17 | bill-exec | server-01-main | 192.168.1.120 | wmic memorychip get speed | executed | success |
2024-03-29T13:00:27 | dean-admin | server-01-main | 192.168.1.121 | wmic path Win32_PerfFormattedData_PerfOS_Memory get AvailableBytes | executed | success |
2024-03-29T12:58:27 | bill-exec | server-02-main | 192.168.1.153 | wmic cpu get description | executed | success |
2024-03-29T12:58:02 | sophie-engineering | engineering-01-main | 192.168.1.136 | wmic os get lastbootuptime | executed | success |
2024-03-29T12:37:55 | dean-admin | server-01-main | 192.168.1.125 | wmic process where (name="chrome.exe") get ExecutablePath | executed | success |
2024-03-29T12:31:55 | dean-admin | server-01-main | 192.168.1.195 | wmic bios get Manufacturer, Name | executed | success |
2024-03-29T12:17:42 | bill-exec | server-02-main | 192.168.1.116 | wmic printer get sharename | executed | success |
2024-03-29T12:11:11 | dean-admin | server-02-main | 192.168.1.123 | wmic path CIM_Directory Where Drive="C:" get Name | executed | success |
2024-03-29T12:09:17 | sophie-engineering | engineering-02-main | 192.168.1.131 | wmic nicconfig where ipenabled=true get ipaddress,macaddress | executed | success |
2024-03-29T12:07:34 | dean-admin | server-02-main | 192.168.1.128 | wmic process get ThreadCount | executed | success |
2024-03-29T12:05:15 | claire-exec | server-01-main | 192.168.1.107 | wmic bios get serialnumber | executed | success |
2024-03-29T12:02:31 | bill-exec | server-02-main | 192.168.1.172 | wmic printersystem get horizontalresolution | executed | success |
2024-03-29T11:58:44 | dean-admin | server-02-main | 192.168.1.178 | wmic process where (name="explorer.exe") get CreationDate | executed | success |
2024-03-29T11:58:33 | bill-exec | server-02-main | 192.168.1.194 | wmic netlogin get lastlogon | executed | success |
2024-03-29T11:45:12 | dean-admin | server-01-main | 192.168.1.136 | wmic process get Caption | executed | success |
2024-03-29T11:36:09 | dean-admin | server-02-main | 192.168.1.151 | wmic CPU get LoadPercentage | executed | success |
2024-03-29T11:30:59 | bill-exec | server-01-main | 192.168.1.191 | wmic os get serialnumber | executed | success |
2024-03-29T11:20:23 | sophie-engineering | engineering-01-main | 192.168.1.166 | wmic partition get name,size | executed | success |
2024-03-29T11:19:23 | dean-admin | server-02-main | 192.168.1.141 | wmic os get InstallDate | executed | success
2024-03-29T11:17:59 | dean-admin | server-01-main | 192.168.1.107 | wmic USERACCOUNT where Disabled=FALSE get Name,Status | executed | success |
2024-03-29T11:15:14 | bill-exec | server-01-main | 192.168.1.132 | wmic netlogin get fullname | executed | success |
2024-03-29T11:08:37 | dean-admin | server-02-main | 192.168.1.132 | wmic process get ExecutablePath | executed | success |
2024-03-29T10:53:31 | dean-admin | server-02-main | 192.168.1.134 | wmic startup get Name, Command | executed | success |
2024-03-29T10:50:09 | claire-exec | server-01-main | 192.168.1.116 | wmic netlogin get lastlogoff | executed | success |
2024-03-29T10:45:14 | bill-exec | server-01-main | 192.168.1.167 | wmic nic get MACAddress | executed | success |
2024-03-29T10:30:41 | sophie-engineering | engineering-02-main | 192.168.1.125 | wmic product where "name like '%Java%'" get name,version | executed | success |
2024-03-29T10:29:06 | bill-exec | server-01-main | 192.168.1.169 | wmic product get description | executed | success |
2024-03-29T10:23:39 | dean-admin | server-02-main | 192.168.1.181 | wmic process get Name, ProcessId | executed | success |
2024-03-29T10:00:19 | dean-admin | server-01-main | 192.168.1.104 | wmic timezone get Caption | executed | success |
2024-03-29T09:55:32 | dean-admin | server-01-main | 192.168.1.187 | wmic logicaldisk get Size, FreeSpace | executed | success |
2024-03-29T09:40:59 | sophie-engineering | engineering-01-main | 192.168.1.114 | wmic process where name="chrome.exe" call terminate | executed | success |
2024-03-29T09:35:02 | claire-exec | server-02-main | 192.168.1.173 | wmic partition get name | executed | success |
